generation,rank_1,rank_2,swapAccepted
485000,2,7,0
486000,2,4,0
487000,1,4,0
488000,1,2,1
489000,3,5,1
490000,1,8,0
491000,4,5,0
492000,4,6,0
493000,5,8,0
494000,2,6,0
495000,2,7,0
496000,1,3,0
497000,4,8,0
498000,5,6,1
499000,1,7,0
500000,5,7,0
501000,5,7,0
502000,6,8,1
503000,1,4,0
504000,4,6,0
505000,3,6,0
506000,1,3,0
507000,5,7,0
508000,3,6,0
509000,4,5,0
510000,1,7,0
511000,3,6,0
512000,1,2,1
513000,1,4,0
514000,1,2,1
515000,6,7,0
516000,5,7,0
517000,6,7,0
518000,1,7,0
519000,4,6,0
520000,5,8,0
521000,4,8,0
522000,5,6,1
523000,4,5,1
524000,1,3,0
525000,1,6,0
526000,3,6,0
527000,6,7,1
528000,1,2,0
529000,2,4,0
530000,3,6,0
531000,5,8,0
532000,4,6,1
533000,1,4,0
534000,2,4,0
535000,1,7,0
536000,7,8,0
537000,4,8,0
538000,1,8,0
539000,3,6,0
540000,2,8,0
541000,2,3,1
542000,5,6,0
543000,4,6,0
544000,2,6,0
545000,1,3,0
546000,2,7,0
547000,2,3,0
548000,4,6,0
549000,3,8,0
550000,2,4,0
551000,6,8,0
552000,4,8,0
553000,2,4,0
554000,3,7,0
555000,3,8,0
556000,2,5,0
557000,2,7,0
558000,4,8,0
559000,2,4,0
560000,7,8,1
561000,3,7,0
562000,3,4,1
563000,7,8,1
564000,5,6,0
565000,1,2,0
566000,2,4,0
567000,1,3,0
568000,4,8,0
569000,1,4,0
570000,3,5,1
571000,3,6,1
572000,5,8,0
573000,1,3,0
574000,3,6,0
575000,1,5,0
576000,2,5,0
577000,5,7,0
578000,3,5,0
579000,2,4,0
580000,2,4,0
581000,1,4,0
582000,5,7,1
583000,6,7,1
584000,5,6,0
585000,5,7,0
586000,3,4,0
587000,1,8,0
588000,2,6,0
589000,2,7,0
590000,3,6,0
591000,3,5,0
592000,2,5,0
593000,3,4,0
594000,5,6,0
595000,2,5,0
596000,1,8,0
597000,3,7,0
598000,2,5,0
599000,4,7,0
600000,1,2,1
601000,2,7,0
602000,7,8,0
603000,4,5,0
604000,7,8,0
605000,1,6,0
606000,6,7,1
607000,1,5,0
608000,4,5,0
609000,7,8,0
610000,2,8,0
611000,1,3,0
