generation,N_shifts,logPrior,logLik,eventRate,acceptRate
250000,2,-0.695461,-77.7182,0.973814,0.51
251000,2,-7.59998,-78.096,1.32476,0.496
252000,1,1.30672,-79.4206,0.257158,0.523
253000,1,-5.61697,-77.9336,0.241361,0.473
254000,1,-4.80102,-76.6863,0.530276,0.401
255000,1,-1.22089,-77.8536,0.462349,0.447
256000,1,-1.11538,-77.9938,1.15902,0.526
257000,1,2.00417,-78.0064,0.140965,0.517213
258000,1,-5.32382,-82.1493,0.317407,0.532
259000,1,2.25338,-79.4396,0.723856,0.536
260000,2,-1.50085,-77.049,1.07861,0.555
261000,1,-0.429913,-82.6908,0.990461,0.516
262000,1,-6.84542,-79.3271,3.14579,0.503
263000,1,-1.15972,-78.9081,0.535242,0.483
264000,1,2.7759,-80.9425,0.711796,0.527
265000,1,-4.02857,-77.7266,2.27603,0.56
266000,1,-3.78809,-76.8714,1.33983,0.536
267000,1,-0.419201,-77.154,1.07293,0.554
268000,2,-0.159135,-77.4971,0.529442,0.52
269000,1,-1.03003,-76.2108,0.781172,0.536
270000,1,1.64593,-78.5217,1.2878,0.511
271000,2,-0.211497,-78.3396,1.986,0.544
272000,1,1.0747,-79.6092,0.705069,0.528
273000,2,-0.993028,-77.6283,0.941816,0.517
274000,3,1.45675,-78.7179,1.64341,0.519414
275000,1,-1.35565,-77.3978,0.328625,0.547
276000,1,-2.48001,-77.094,1.47523,0.489
277000,1,-0.268827,-77.0122,0.23827,0.471
278000,1,-2.12908,-78.7456,1.83377,0.451
279000,1,-2.04492,-78.8578,0.35442,0.53425
280000,1,-0.523555,-78.4423,1.52322,0.532
281000,1,-2.99724,-78.6043,3.75217,0.518
282000,1,-2.79243,-80.5153,1.54842,0.509
283000,1,0.870781,-80.4055,1.72645,0.497
284000,1,-0.0680107,-82.3717,1.83034,0.516
285000,1,1.10409,-82.5819,1.33404,0.506
286000,1,-3.07346,-76.803,0.661439,0.485
287000,1,1.16548,-78.463,1.14449,0.535
288000,1,2.1722,-80.1289,0.812347,0.535
289000,1,2.26186,-82.296,0.652887,0.532
290000,2,2.46759,-77.6711,0.523678,0.558
291000,1,1.07048,-77.3569,1.07843,0.584
292000,1,-1.95779,-77.2661,0.504661,0.544
293000,1,-4.6582,-77.6285,2.90101,0.549
294000,2,1.97053,-76.2739,2.17449,0.538
295000,1,-0.604402,-78.1171,0.745261,0.564
296000,1,1.47816,-77.8103,0.836706,0.54
297000,2,0.841038,-79.216,1.78474,0.609
298000,1,-1.34563,-79.6594,1.99948,0.573
299000,1,-0.194278,-77.8867,1.56532,0.522
300000,2,-2.06783,-76.5527,2.95937,0.607
301000,1,-0.439801,-80.1848,2.23426,0.535913
302000,2,0.522149,-81.4727,1.73565,0.524
303000,1,0.0591243,-78.5704,0.394955,0.512
304000,1,-1.75671,-76.5302,1.02426,0.454
305000,1,-1.35644,-79.1498,0.62176,0.519382
306000,1,-1.01168,-77.1384,1.49965,0.479
307000,1,-2.05249,-77.8776,3.18331,0.509122
308000,1,-0.899803,-78.6951,0.771958,0.499
309000,1,0.954578,-77.9344,0.0606995,0.454
310000,1,1.48246,-78.0132,0.238554,0.511
311000,1,0.00784121,-77.3073,1.63178,0.525
312000,1,-1.71445,-76.4862,0.242675,0.461
313000,1,0.857454,-78.0084,0.822919,0.523469
314000,1,2.47988,-82.6122,0.348187,0.455
315000,1,-2.23566,-77.6305,0.968954,0.523
316000,1,-0.282853,-77.795,0.834539,0.45
317000,2,0.623747,-81.3489,0.951526,0.494
318000,1,0.933429,-79.7116,0.075217,0.507833
319000,1,-2.3228,-77.5684,3.36614,0.533
320000,2,2.63083,-79.2734,0.308373,0.502
321000,4,-1.619,-80.6489,1.46278,0.575
322000,2,-0.634141,-73.7197,1.43011,0.562
323000,1,0.85327,-78.7577,0.53047,0.558
324000,2,-1.64465,-77.5155,2.64397,0.584
325000,1,-0.729963,-76.9449,2.45192,0.535
326000,3,-0.839434,-78.2816,1.51168,0.56
327000,1,1.49532,-79.0287,0.597641,0.52
328000,1,0.607567,-77.8372,1.57779,0.512
329000,1,0.412965,-77.5064,0.546944,0.526
330000,1,-1.67319,-79.826,0.228628,0.516
331000,2,0.954746,-74.7394,1.30731,0.538
332000,1,1.09362,-79.5353,1.12981,0.531
333000,0,-0.0323885,-87.7282,1.92042,0.515813
334000,1,-0.703553,-80.6305,1.84209,0.347
335000,1,-0.0481862,-80.1243,0.907054,0.545
336000,1,2.29586,-78.8817,0.469949,0.567
337000,1,-2.62892,-78.9226,3.06815,0.522
338000,1,-0.0775514,-76.2793,1.93707,0.525733
339000,1,0.37477,-80.7792,0.45343,0.53
340000,1,-1.21337,-77.1681,1.17332,0.544
341000,1,-0.0913475,-78.7474,0.113495,0.543
342000,1,2.19126,-82.8294,0.544578,0.509986
343000,3,-5.85275,-85.6844,3.83011,0.52
344000,1,-2.62115,-76.7402,1.35748,0.541
345000,2,0.73837,-77.68,1.39538,0.548
346000,1,0.944919,-79.8682,1.19817,0.545
347000,1,-0.648622,-78.8246,0.779928,0.548167
348000,2,-0.757653,-75.8037,3.25824,0.555
349000,2,-2.6855,-74.8301,0.877856,0.557
350000,1,-1.91815,-79.5109,0.122699,0.533
351000,1,-0.502973,-79.6386,0.290344,0.542
352000,1,1.2012,-77.1537,0.183841,0.53
353000,1,1.19227,-78.373,0.0181259,0.539
354000,1,1.66977,-77.3992,0.646147,0.604
355000,1,-0.33616,-79.1814,1.95587,0.537722
356000,1,-0.931329,-78.0388,0.333587,0.530955
357000,1,-3.005,-78.3292,2.14687,0.568
358000,1,-0.497677,-78.7473,0.286569,0.568
359000,1,-1.8299,-76.5069,1.94013,0.511
360000,1,-1.40169,-79.9683,0.115127,0.517
361000,1,0.148197,-76.1537,0.0650076,0.562
362000,1,2.08674,-78.2357,1.39113,0.544
363000,1,-4.34069,-78.6586,4.31114,0.58
364000,1,1.06404,-79.3107,0.115135,0.539558
365000,1,1.04454,-79.0773,0.166122,0.521
366000,1,-0.997275,-76.9182,1.5847,0.514
367000,1,-0.222833,-79.8692,0.663909,0.523
368000,1,-0.516728,-77.7865,0.784173,0.524672
369000,1,0.394738,-78.9665,0.691686,0.488
370000,1,-1.6351,-77.1552,1.51379,0.497
371000,1,-1.19017,-82.283,1.13635,0.505
372000,1,-0.367362,-77.0954,0.778769,0.53
373000,2,0.0308272,-77.2132,2.49169,0.532
374000,1,-0.79394,-81.2716,0.698973,0.533
375000,1,0.376244,-78.0118,1.51366,0.542
376000,1,-0.628973,-76.4101,1.26327,0.530333
377000,1,-2.66725,-77.2492,1.75023,0.554
378000,1,-3.42922,-76.2759,0.259005,0.484
379000,1,-0.543574,-81.3987,3.2165,0.530167
380000,0,0.231822,-87.1732,0.900438,0.344
381000,1,1.11122,-80.5408,0.912708,0.5365
382000,1,0.950237,-78.1766,0.802026,0.497
383000,1,-0.740828,-77.5093,0.291535,0.473
384000,1,-0.871627,-81.797,0.999762,0.5
385000,1,-0.437436,-79.1236,0.975396,0.439
386000,1,1.02483,-77.7725,0.947689,0.485
387000,1,-3.50886,-80.4318,3.31542,0.524
388000,1,-2.20371,-76.8577,1.48813,0.471
389000,1,-2.28192,-77.711,1.09909,0.484
390000,3,-2.94077,-77.4623,4.9607,0.481
391000,2,-1.69397,-79.9256,1.17094,0.532
392000,1,-0.7597,-78.4998,0.509673,0.532857
393000,1,-2.24701,-77.862,1.64924,0.466
394000,1,0.591328,-77.8318,0.786482,0.525725
395000,1,-0.365238,-80.5114,0.626074,0.530175
396000,1,0.80761,-78.8638,1.05828,0.5705
397000,2,0.658856,-80.2859,1.83785,0.519
398000,1,-1.70167,-78.9915,0.863785,0.544
399000,1,-0.0849563,-80.7448,0.293734,0.521
400000,1,0.558222,-76.9793,0.586187,0.512
401000,1,1.63202,-79.6255,0.400848,0.557
402000,1,-1.93035,-78.7888,1.97485,0.541
403000,1,2.00534,-78.6878,0.695845,0.571
404000,2,-1.39661,-79.0205,1.25883,0.552
405000,2,2.51633,-77.4919,0.705571,0.583
406000,1,-3.98442,-79.1581,3.09086,0.515962
407000,1,-0.171155,-79.4005,1.44718,0.533937
408000,2,2.05133,-78.626,1.50779,0.496
409000,3,0.693732,-79.6792,0.790321,0.497667
410000,1,-1.20562,-77.9273,0.336948,0.498
411000,3,-1.64508,-77.9905,1.41079,0.572
412000,1,0.995335,-80.5348,0.463772,0.542917
413000,1,0.438251,-76.5783,0.284866,0.545
414000,1,0.687455,-77.9866,0.935553,0.546
415000,1,-2.20631,-78.6379,2.09782,0.527
416000,0,1.16507,-87.4748,0.551552,0.509957
417000,1,-0.893795,-78.1662,1.85143,0.444
418000,1,0.836058,-77.4209,0.505264,0.484
419000,1,0.381556,-78.6382,0.385999,0.52
420000,1,-0.54305,-77.9181,0.998811,0.547556
421000,1,2.62041,-78.351,0.115407,0.564
422000,1,-0.769781,-77.444,0.452197,0.535294
423000,1,-0.5907,-76.6662,0.930417,0.53
424000,1,0.0578637,-81.9743,1.19361,0.44
425000,1,-0.674093,-79.4352,0.5342,0.526922
426000,2,1.66248,-79.0714,0.839204,0.524037
427000,1,0.642324,-78.2918,0.99546,0.576
428000,3,-4.54623,-78.2766,2.28207,0.516
429000,2,0.261467,-75.4607,0.903767,0.556
430000,1,-0.0452002,-78.0796,0.444223,0.5264
431000,1,0.881364,-78.7556,0.568375,0.538
432000,1,0.489164,-82.7926,2.33151,0.547
433000,1,-0.933481,-79.7431,0.601828,0.417
434000,1,0.294092,-80.8011,0.599697,0.458
435000,1,1.44246,-80.168,0.428302,0.506
436000,1,-3.32178,-78.5015,0.298556,0.547
437000,1,0.279448,-77.7846,1.17863,0.484
438000,1,0.810225,-76.8178,0.167515,0.517
439000,1,-2.90644,-76.8267,1.15379,0.497
440000,1,-1.88105,-78.8272,1.43237,0.492
441000,1,0.882352,-77.0519,0.125155,0.485
442000,1,1.00363,-79.9222,0.321821,0.525269
443000,1,-1.81883,-78.7776,0.342475,0.524
444000,1,0.755072,-77.782,0.989303,0.53
445000,1,-0.215568,-76.9219,0.695135,0.517188
446000,1,-0.825902,-78.2914,0.082498,0.573
447000,1,1.96572,-77.7504,0.0584673,0.584
448000,1,-2.38929,-76.1824,0.845978,0.5565
449000,1,-1.06368,-78.1255,0.725049,0.493
450000,2,-1.81952,-75.6977,1.79279,0.537
451000,2,-0.0165405,-77.4987,1.35353,0.574
452000,3,-0.540244,-81.6651,0.22166,0.58
453000,1,0.0152743,-79.1084,2.20934,0.520111
454000,1,-1.19678,-78.4716,1.77774,0.513
455000,1,-1.28865,-77.703,0.943394,0.524452
456000,1,-2.36904,-78.2864,1.13939,0.512
457000,1,-1.24519,-76.3386,0.633671,0.491
458000,1,1.64114,-80.6792,0.278491,0.499
459000,1,1.69495,-78.8509,0.379284,0.547
460000,1,-3.23384,-79.8282,2.89119,0.517
461000,1,0.3636,-78.4781,1.56748,0.523
462000,2,-3.58192,-78.7792,2.38401,0.584
463000,3,-2.76137,-78.0279,1.93946,0.557
464000,1,-0.892674,-76.8268,1.05588,0.528231
465000,1,-1.36481,-78.5297,0.908428,0.539
466000,1,-3.86615,-79.9796,1.50474,0.543
467000,1,-2.18541,-77.9591,0.744116,0.502
468000,1,0.648994,-77.3295,1.01015,0.527224
469000,1,1.7531,-78.9533,0.619866,0.537
470000,1,-1.35854,-78.4865,1.59251,0.507
471000,1,1.76623,-78.1804,0.567116,0.487
472000,1,-1.90003,-76.6554,1.4119,0.525
473000,1,0.24398,-78.1144,0.247467,0.53
474000,2,-0.938515,-78.3848,1.86723,0.524
475000,0,0.827418,-87.2176,0.0801647,0.509333
476000,0,-0.0284509,-87.5084,0.165691,0.226
477000,1,-1.00308,-77.8096,0.980889,0.342
478000,2,-0.447845,-74.8604,0.35304,0.587
479000,1,1.93898,-77.732,0.126506,0.506
480000,1,-0.463464,-79.5257,0.480255,0.553
481000,1,-0.683064,-76.9288,0.624821,0.5262
482000,1,1.42775,-78.142,0.857572,0.5414
483000,1,-2.72825,-76.6662,0.995581,0.494
484000,1,0.0507439,-78.2671,0.403099,0.5072
485000,1,0.987498,-79.7161,1.54852,0.489
486000,1,0.360837,-77.2653,1.26545,0.520179
487000,1,-0.515318,-80.3191,1.43145,0.486
488000,1,0.302938,-77.9695,1.07714,0.515
489000,3,2.72055,-76.3925,1.36117,0.522538
490000,1,-0.27107,-81.9751,0.050042,0.532
491000,1,-4.60468,-81.9111,1.09526,0.532
492000,1,-3.03074,-79.8677,1.67953,0.532857
493000,1,-1.30825,-77.6908,0.489981,0.499
494000,1,-1.16942,-78.7155,0.361136,0.474909
495000,1,-1.74464,-77.1625,0.911256,0.496
496000,1,-0.988581,-79.2294,1.06669,0.506333
497000,1,-0.231,-76.5477,1.37052,0.5
498000,2,1.25033,-77.0049,0.852907,0.529932
499000,1,0.146196,-78.7189,1.7403,0.574
500000,1,0.652392,-78.4121,0.333659,0.507
501000,1,1.90682,-78.85,0.223692,0.552
502000,1,0.317882,-77.483,0.341872,0.5364
503000,1,-0.466103,-80.8742,1.55881,0.503
504000,1,0.315548,-78.9272,1.1573,0.566
505000,2,-3.14064,-76.0392,2.0448,0.559
506000,1,1.54116,-77.5585,0.536198,0.488
507000,1,0.0656138,-79.3201,1.0472,0.519
508000,1,-1.77752,-80.6804,2.24198,0.52495
509000,1,0.384797,-78.9562,0.143729,0.516
510000,1,0.748115,-80.7624,0.843995,0.517333
511000,1,0.929405,-78.9452,1.36396,0.479
512000,1,1.06013,-79.0676,0.744447,0.504
513000,1,-1.47245,-77.1649,0.256446,0.472
514000,1,2.5103,-79.4724,0.238034,0.495
515000,1,-2.8742,-78.4634,0.401988,0.506
516000,1,-4.9872,-76.6393,0.200713,0.492286
