generation,rank_1,rank_2,swapAccepted
551000,6,8,0
552000,4,8,0
553000,3,4,0
554000,1,5,0
555000,5,8,0
556000,2,3,0
557000,1,3,0
558000,4,8,0
559000,3,4,1
560000,1,8,0
561000,5,8,0
562000,3,5,1
563000,1,8,0
564000,2,6,0
565000,4,7,0
566000,3,4,0
567000,5,7,0
568000,3,8,0
569000,3,7,0
570000,2,5,0
571000,2,6,0
572000,5,8,0
573000,6,7,1
574000,2,7,0
575000,5,6,1
576000,4,6,0
577000,1,6,0
578000,6,7,1
579000,3,4,1
580000,3,4,1
581000,3,5,0
582000,1,7,0
583000,2,7,0
584000,1,7,0
585000,1,2,1
586000,3,6,0
587000,5,8,0
588000,4,7,0
589000,1,4,0
590000,6,7,0
591000,2,6,0
592000,2,4,0
593000,3,6,0
594000,2,7,0
595000,2,4,0
596000,5,8,0
597000,1,6,0
598000,2,4,0
599000,1,3,0
600000,4,5,0
601000,1,5,0
602000,1,8,0
603000,2,3,1
604000,1,8,0
605000,4,7,0
606000,1,7,0
607000,3,4,0
608000,2,3,0
609000,7,8,1
610000,5,7,0
611000,4,6,0
612000,4,6,1
613000,3,5,0
614000,4,7,1
615000,1,2,0
616000,3,5,0
617000,4,6,0
618000,1,3,1
619000,3,5,0
620000,5,7,1
621000,3,8,0
622000,3,6,0
623000,2,5,0
624000,3,5,0
625000,5,6,1
626000,5,6,1
627000,3,7,0
628000,3,4,1
629000,5,8,0
630000,3,5,0
631000,2,4,0
632000,3,7,0
633000,4,8,0
634000,3,5,0
635000,4,7,1
636000,1,6,0
637000,7,8,0
638000,5,6,1
639000,5,8,0
640000,2,7,0
641000,7,8,0
642000,3,8,0
643000,1,2,1
644000,2,3,0
645000,3,7,0
646000,6,7,1
647000,5,8,0
648000,1,6,0
649000,3,7,0
650000,2,4,0
651000,4,8,0
652000,3,5,1
653000,3,6,0
654000,4,8,0
655000,4,6,0
656000,4,6,1
657000,6,7,1
658000,7,8,1
659000,6,7,1
660000,1,7,0
661000,1,2,1
662000,2,5,0
663000,1,8,0
664000,2,8,0
665000,5,6,1
666000,2,7,0
667000,1,8,0
668000,3,4,1
669000,2,6,0
670000,3,8,0
671000,6,8,0
672000,1,4,0
673000,1,3,0
674000,2,3,1
675000,5,7,0
676000,1,3,0
677000,2,5,0
678000,5,7,0
679000,3,7,0
680000,4,8,0
681000,7,8,1
682000,5,6,1
683000,1,4,0
684000,6,8,0
685000,1,3,0
686000,3,6,0
687000,1,2,0
688000,2,6,0
689000,4,7,0
690000,1,5,0
691000,3,6,0
692000,3,6,0
693000,3,4,1
694000,1,2,0
695000,1,2,0
696000,1,8,0
697000,3,4,1
698000,4,8,0
699000,2,6,0
700000,5,8,0
701000,4,7,0
702000,3,4,0
